,Name,TeamAbbreviation,GamesPlayed,Minutes,POINTS,REB,AST,STL,BLK,TrueStock,TrueStock_PerGame
250,Jordan Goodwin,MEM,57,1056,6.5,5.6,2.7,0.8,0.3,62.0,1.087719298245614
251,Marvin Bagley III,WAS,50,1053,11.7,6.4,1.1,0.4,0.7,50.0,1.0
252,Torrey Craig,CHI,53,1049,5.7,4.3,1.1,0.6,0.4,47.0,0.8867924528301887
253,Dalano Banton,POR,54,1047,10.0,4.2,2.3,0.6,0.4,48.0,0.8888888888888888
254,Jalen Smith,IND,61,1047,9.9,5.6,1.0,0.3,0.6,44.0,0.7213114754098361
255,Ziaire Williams,MEM,51,1038,8.2,4.0,1.5,0.7,0.2,62.0,1.2156862745098038
256,Jae'Sean Tate,HOU,65,1031,4.1,3.4,1.0,0.6,0.2,63.0,0.9692307692307692
257,Kenrich Williams,OKC,69,1029,4.7,3.2,1.3,0.6,0.1,61.0,0.8840579710144928
258,Jose Alvarado,NOP,56,1028,7.1,2.6,2.1,1.0,0.3,78.0,1.3928571428571428
259,Quentin Grimes,DET,51,1025,7.0,2.3,1.3,0.7,0.1,41.0,0.803921568627451
260,De'Anthony Melton,PHI,38,1023,11.1,3.8,3.0,1.6,0.4,73.0,1.9210526315789473
261,Daniel Theis,LAC,60,1015,6.3,4.3,1.0,0.4,0.8,60.0,1.0
262,Lonnie Walker IV,BKN,58,1011,9.7,2.4,1.2,0.5,0.3,44.0,0.7586206896551724
263,Talen Horton-Tucker,UTA,51,1009,10.3,2.8,3.5,0.9,0.4,58.0,1.1372549019607843
264,Killian Hayes,DET,42,1008,6.9,3.0,4.9,0.9,0.5,59.0,1.4047619047619047
265,Jevon Carter,CHI,72,1004,5.0,1.4,1.3,0.5,0.2,50.0,0.6944444444444444
